TITLE,RATING,RUNTIME,IMDB_RATING,GENRE,RELEASE_YEAR,DESCRIPTION,DIRECTOR,STARS,VOTES,TYPE
Love Actually,R,135.0,7.6,"Comedy, Drama, Romance",2003.0,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney, ","517,283",Movie
Home Alone,PG,103.0,7.7,"Comedy, Family",1990.0,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, ","629,713",Movie
National Lampoon's Christmas Vacation,PG-13,97.0,7.5,Comedy,1989.0,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Jeremiah S. Chechik,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki, ","213,196",Movie
Elf,PG,97.0,7.1,"Adventure, Comedy, Family",2003.0,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel, ","300,546",Movie
How the Grinch Stole Christmas,PG,104.0,6.3,"Comedy, Family, Fantasy",2000.0,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor, ","280,898",Movie
The Grinch,PG,85.0,6.4,"Animation, Comedy, Family",2018.0,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Yarrow Cheney,"Scott Mosier, Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams, ","85,219",Movie
Die Hard,R,132.0,8.2,"Action, Thriller",1988.0,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, ","924,658",Movie
Home Alone 2: Lost in New York,PG,120.0,6.9,"Adventure, Comedy, Crime",1992.0,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara, ","389,541",Movie
The Polar Express,G,100.0,6.6,"Animation, Adventure, Comedy",2004.0,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Robert Zemeckis,"Tom Hanks, Chris Coppola, Michael Jeter, Leslie Zemeckis, ","233,258",Movie
It's a Wonderful Life,PG,130.0,8.6,"Drama, Family, Fantasy",1946.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, ","486,479",Movie
The Santa Clause,PG,97.0,6.6,"Comedy, Drama, Family",1994.0,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",John Pasquin,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd, ","130,393",Movie
White Christmas,Not Rated,120.0,7.6,"Comedy, Musical, Romance",1954.0,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, ","48,751",Movie
Scrooged,PG-13,101.0,6.9,"Comedy, Drama, Fantasy",1988.0,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.",Richard Donner,"Bill Murray, Karen Allen, John Forsythe, John Glover, ","112,793",Movie
Spirited,PG-13,127.0,6.6,"Comedy, Family, Musical",2022.0,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,Sean Anders,"Will Ferrell, Ryan Reynolds, Octavia Spencer, Patrick Page, ","46,695",Movie
Miracle on 34th Street,PG,114.0,6.6,"Drama, Family, Fantasy",1994.0,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Les Mayfield,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott, J.T. Walsh, ","42,222",Movie
Jingle All the Way,PG,89.0,5.7,"Adventure, Comedy, Family",1996.0,"A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out, and he must travel all over town and compete with everybody else in order to find one.",Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, ","113,346",Movie
Klaus,PG,96.0,8.2,"Animation, Adventure, Comedy",2019.0,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,"Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, ","178,753",Movie
A Christmas Carol,PG,96.0,6.8,"Animation, Adventure, Comedy",2009.0,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine, ","126,638",Movie
Last Christmas,PG-13,103.0,6.5,"Comedy, Drama, Fantasy",2019.0,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true.",Paul Feig,"Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller, ","87,409",Movie
Christmas with the Kranks,PG,99.0,5.5,"Comedy, Family",2004.0,"With their daughter, Blair, away in Peru, Luther and Nora Krank decide to skip Christmas all together until she decides to come home, causing an uproar when they have to celebrate it at the last minute.",Joe Roth,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, M. Emmet Walsh, ","55,959",Movie
The Santa Clause 2,G,104.0,5.7,"Comedy, Family, Fantasy",2002.0,"Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.",Michael Lembeck,"Tim Allen, Spencer Breslin, Elizabeth Mitchell, Eric Lloyd, ","62,886",Movie
Miracle on 34th Street,Not Rated,96.0,7.9,"Comedy, Drama, Family",1947.0,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",George Seaton,"Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart, ","53,189",Movie
Four Christmases,PG-13,88.0,5.7,"Comedy, Drama, Romance",2008.0,A couple struggles to visit all four of their divorced parents on Christmas.,Seth Gordon,"Reese Witherspoon, Vince Vaughn, Mary Steenburgen, Robert Duvall, ","78,898",Movie
Home Alone 3,PG,102.0,4.6,"Action, Comedy, Crime",1997.0,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Raja Gosnell,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen, ","124,554",Movie
The Muppet Christmas Carol,G,85.0,7.8,"Comedy, Drama, Family",1992.0,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Brian Henson,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, ","67,536",Movie
Office Christmas Party,R,105.0,5.9,Comedy,2016.0,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",Josh Gordon,"Will Speck, Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston, ","86,267",Movie
Feast of the Seven Fishes,Not Rated,99.0,6.8,Comedy,2019.0,"A slice of life story that follows a large Italian family on Christmas Eve as they prepare for the traditional Feast of the Seven Fishes, reminisce about the past, and seek love in the future.",Robert Tinnell,"Tony Bingham, Skyler Gisondo, Paul Ben-Victor, Jean Zarzour, ","2,884",Movie
Bad Santa,R,92.0,7.1,"Comedy, Crime, Drama",2003.0,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter, ","152,299",Movie
The Christmas Chronicles,PG,104.0,7.0,"Adventure, Comedy, Family",2018.0,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson, ","81,195",Movie
